DAQch	View	Vchannel	FEMB	FEMBch	ASIC	ASICch	gain	error
187	0	39	2	60	4	12	23.816	0.083
188	1	95	2	59	4	11	23.293	0.124
189	1	94	2	58	4	10	22.142	0.141
190	1	92	2	57	4	9	22.614	0.139
191	1	91	2	56	4	8	23.527	0.136
192	0	53	2	71	5	7	22.519	0.106
193	1	133	2	70	5	6	22.185	0.140
194	0	54	2	69	5	5	22.396	0.110
195	1	136	2	68	5	4	21.533	0.107
196	1	137	2	67	5	3	21.578	0.117
197	1	139	2	66	5	2	21.331	0.127
198	1	140	2	65	5	1	22.014	0.136
199	0	57	2	64	5	0	21.032	0.105
200	0	52	2	103	7	7	21.652	0.111
201	1	128	2	102	7	6	22.940	0.155
202	0	51	2	101	7	5	23.226	0.117
203	1	125	2	100	7	4	23.651	0.147
204	1	124	2	99	7	3	22.293	0.139
205	1	122	2	98	7	2	23.472	0.137
206	1	121	2	97	7	1	22.443	0.123
207	0	48	2	96	7	0	21.536	0.084
208	1	120	2	79	5	15	22.095	0.115
209	0	49	2	78	5	14	23.650	0.119
210	1	123	2	77	5	13	22.948	0.135
211	0	50	2	76	5	12	23.325	0.098
212	1	126	2	75	5	11	23.938	0.136
213	1	127	2	74	5	10	23.656	0.136
214	1	129	2	73	5	9	22.140	0.122
215	1	130	2	72	5	8	22.140	0.135
216	1	141	2	111	7	15	22.476	0.134
217	0	56	2	110	7	14	23.332	0.120
218	1	138	2	109	7	13	23.134	0.150
219	0	55	2	108	7	12	22.655	0.106
220	1	135	2	107	7	11	22.653	0.125
221	1	134	2	106	7	10	23.108	0.140
222	1	132	2	105	7	9	23.596	0.135
223	1	131	2	104	7	8	24.140	0.127
224	0	62	2	87	6	7	21.864	0.115
225	1	156	2	86	6	6	22.193	0.117
226	1	157	2	85	6	5	21.505	0.125
227	1	159	2	84	6	4	21.156	0.097
228	3	24	2	100	7	4	22.900	-1.000
229	3	25	2	101	7	5	22.900	-1.000
230	3	26	2	102	7	6	22.900	-1.000
231	3	27	2	103	7	7	22.900	-1.000
232	1	152	2	119	8	7	23.086	0.131
233	1	151	2	118	8	6	22.711	0.136
234	0	60	2	117	8	5	23.738	0.129
235	1	148	2	116	8	4	23.244	0.132
236	0	59	2	115	8	3	22.819	0.103
237	1	145	2	114	8	2	22.620	0.140
238	1	144	2	113	8	1	21.874	0.126
239	1	142	2	112	8	0	23.228	0.139
240	1	143	2	95	6	15	22.030	0.131
241	0	58	2	94	6	14	21.540	0.111
242	1	146	2	93	6	13	22.026	0.106
243	1	147	2	92	6	12	22.721	0.147
244	1	149	2	91	6	11	21.800	0.109
245	1	150	2	90	6	10	21.819	0.108
246	0	61	2	89	6	9	22.381	0.123
247	1	153	2	88	6	8	22.073	0.118
248	3	28	2	120	8	8	22.900	-1.000
249	3	29	2	121	8	9	22.900	-1.000
250	3	30	2	122	8	10	22.900	-1.000
251	3	31	2	123	8	11	22.900	-1.000
252	1	158	2	123	8	11	22.814	0.139
